date,pm10_avg,pm25_avg
2017-09-08,172.75,66.3625
2017-09-09,,69.61666666666666
2017-09-10,151.25,75.275
2017-09-11,147.3,69.02857142857142
2017-09-12,169.65,73.61428571428571
2017-09-13,167.0,92.325
2017-09-14,160.5,72.37142857142858
2017-09-15,,81.0
2017-09-16,,59.4
2017-09-17,115.0,62.6125
2017-09-18,148.5,71.175
2017-09-19,140.6,78.1125
2017-09-20,68.95,62.3875
2017-09-21,32.45,39.275
2017-09-22,36.3,40.675
2017-09-23,87.15,58.300000000000004
2017-09-24,139.0,68.3375
2017-09-25,262.0,82.925
2017-09-26,316.0,91.4
2017-09-27,318.5,91.4
2017-09-28,353.0,94.0
2017-09-29,267.0,92.7
2017-09-30,298.5,81.7
2017-10-01,317.0,77.15714285714286
2017-10-02,258.0,97.8625
2017-10-03,321.0,101.475
2017-10-04,183.0,92.8125
2017-10-05,226.5,87.8125
2017-10-06,307.5,99.2125
2017-10-07,339.5,122.25714285714285
2017-10-08,320.0,113.875
2017-10-09,342.0,116.3125
2017-10-10,333.0,121.2375
2017-10-11,385.0,137.675
2017-10-12,343.5,127.3375
2017-10-13,310.0,135.8875
2017-10-14,319.5,136.65
2017-10-15,386.0,153.1
2017-10-16,377.0,139.325
2017-10-17,382.0,154.75
2017-10-18,440.0,197.25
2017-10-19,647.0,512.9833333333333
2017-10-20,508.5,230.125
2017-10-21,433.0,161.28571428571428
2017-10-22,412.5,153.4
2017-10-23,441.5,179.125
2017-10-24,422.5,202.375
2017-10-25,361.5,190.125
2017-10-26,354.0,174.25
2017-10-27,380.0,175.875
2017-10-28,377.5,183.6875
2017-10-29,415.5,191.9125
2017-10-30,438.5,220.85
2017-10-31,333.5,195.7125
2017-11-01,298.5,189.625
2017-11-02,333.0,188.85
2017-11-03,342.0,196.375
2017-11-04,405.5,209.25
2017-11-05,435.5,235.875
2017-11-06,450.5,478.375
2017-11-07,389.5,549.875
2017-11-08,329.5,506.25
2017-11-09,279.35,385.375
2017-11-10,258.0,375.125
2017-11-11,310.5,469.5
2017-11-12,262.0,356.375
2017-11-13,224.0,248.0
2017-11-14,213.26666666666665,188.875
2017-11-15,190.33333333333334,176.25
2017-11-16,196.66666666666666,141.35
2017-11-17,145.0,145.0
2017-11-18,101.0,122.13333333333333
2017-11-19,184.0,148.0
2017-11-20,196.76666666666665,173.5
2017-11-21,183.86666666666667,173.325
2017-11-22,158.66666666666666,169.625
2017-11-23,258.5,179.0875
2017-11-24,220.0,177.75
2017-11-25,327.5,251.5
2017-11-26,369.6666666666667,191.25
2017-11-27,300.3333333333333,167.85714285714286
2017-11-28,338.6666666666667,193.625
2017-11-29,332.3333333333333,216.28571428571428
2017-11-30,353.0,186.42857142857142
2017-12-01,374.0,201.85714285714286
2017-12-02,422.3333333333333,240.0
2017-12-03,417.3333333333333,242.14285714285714
2017-12-04,399.3333333333333,214.57142857142858
2017-12-05,215.0,120.2625
2017-12-06,252.0,96.68571428571428
2017-12-07,221.0,111.7625
2017-12-08,319.90000000000003,170.625
2017-12-09,427.3333333333333,213.0
2017-12-10,417.0,222.875
2017-12-11,197.33333333333334,114.55
2017-12-12,285.3333333333333,134.15
2017-12-13,234.0,115.75714285714285
2017-12-14,283.3333333333333,123.5
2017-12-15,198.0,109.8
2017-12-16,178.0,102.6
2017-12-17,293.0,124.91428571428571
2017-12-18,312.6666666666667,182.48333333333335
2017-12-19,558.6666666666666,303.875
2017-12-20,531.0,265.5
2017-12-21,286.0,142.225
2017-12-22,246.33333333333334,115.5
2017-12-23,421.0,203.25
2017-12-24,466.6666666666667,263.875
2017-12-25,354.0,214.42857142857142
2017-12-26,389.3333333333333,211.375
2017-12-27,437.3333333333333,240.375
2017-12-28,411.6666666666667,223.25
2017-12-29,465.6666666666667,254.125
2017-12-30,394.0,264.14285714285717
2017-12-31,462.3333333333333,297.625
2018-01-01,506.6666666666667,269.2857142857143
2018-01-02,457.0,233.5
2018-01-03,474.0,264.125
2018-01-04,409.3333333333333,240.375
2018-01-05,475.6666666666667,261.2857142857143
2018-01-06,354.6666666666667,178.875
2018-01-07,303.0,155.625
2018-01-08,404.3333333333333,247.25
2018-01-09,348.0,194.75
2018-01-10,291.6666666666667,151.8375
2018-01-11,326.0,164.5
2018-01-12,352.0,208.0
2018-01-13,344.6666666666667,184.5
2018-01-14,348.0,164.625
2018-01-15,287.0,140.475
2018-01-16,391.6666666666667,230.25
2018-01-17,547.3333333333334,319.75
2018-01-18,431.6666666666667,210.625
2018-01-19,364.6666666666667,183.0625
2018-01-20,299.0,152.58333333333334
2018-01-21,464.0,210.0
2018-01-22,291.0,149.42857142857142
2018-01-23,270.0,120.2
2018-01-24,166.0,109.58333333333333
2018-01-25,252.0,129.04285714285714
2018-01-26,397.0,168.8125
2018-01-27,283.0,144.6875
2018-01-28,261.25,144.1625
2018-01-29,258.6666666666667,124.7875
2018-01-30,258.6666666666667,130.0
2018-01-31,304.6666666666667,143.35
2018-02-01,259.0,118.05
2018-02-02,216.33333333333334,94.8
2018-02-03,226.0,118.02857142857144
2018-02-04,304.6666666666667,137.65
2018-02-05,255.33333333333334,121.9625
2018-02-06,215.0,109.8
2018-02-07,359.6666666666667,176.1625
2018-02-08,377.0,142.57142857142858
2018-02-09,412.3333333333333,183.375
2018-02-10,267.0,135.125
2018-02-11,119.0,71.9125
2018-02-12,166.33333333333334,107.8625
2018-02-13,213.0,67.525
2018-02-14,148.33333333333334,83.775
2018-02-15,236.5,116.3625
2018-02-16,303.5,131.2125
2018-02-17,187.0,116.6875
2018-02-18,334.6666666666667,158.5
2018-02-19,369.0,152.625
2018-02-20,406.0,182.075
2018-02-21,364.6666666666667,164.35
2018-03-08,251.85714285714286,274.09090909090907
2018-03-09,175.42857142857142,193.72727272727272
2018-03-10,137.5,144.97272727272727
2018-03-11,165.57142857142858,191.0
2018-03-12,171.5,204.93
2018-03-13,219.5,234.1
2018-03-14,269.0,222.54545454545453
2018-03-15,263.6666666666667,207.66666666666666
2018-03-16,165.57142857142858,167.66363636363636
2018-03-17,150.0,147.75
2018-03-18,151.4,146.67000000000002
2018-03-19,167.6,174.28
2018-03-20,219.5,225.33333333333334
2018-03-21,170.8,190.875
2018-03-22,138.2,146.925
2018-03-23,136.8,116.25
2018-03-24,146.6,128.6625
2018-03-25,147.2,140.13333333333333
2018-03-26,175.8,182.66666666666666
2018-03-27,187.4,229.88888888888889
2018-03-28,156.28,207.44444444444446
2018-03-29,172.6,200.07777777777778
2018-03-30,203.2,198.88888888888889
2018-03-31,189.4,166.9625
2018-04-01,164.2,183.2375
2018-04-02,174.5,199.25
2018-04-03,184.75,203.57142857142858
2018-04-04,239.5,274.42857142857144
2018-04-05,206.25,248.85714285714286
2018-04-06,132.2,157.6375
2018-04-07,114.02000000000001,108.4
2018-04-08,116.38,108.5375
2018-04-15,265.5,119.66666666666667
2018-04-16,,101.39999999999999
2018-04-17,,86.43333333333334
2018-04-18,244.0,118.13333333333333
2018-04-19,223.66666666666666,124.10000000000001
2018-04-25,218.0,146.66666666666666
2018-04-26,199.0,139.25
2018-04-27,400.0,89.075
2018-04-28,,93.36666666666667
2018-04-29,,87.66666666666667
2018-04-30,160.6,47.5
2018-05-01,195.25,109.9375
2018-05-02,147.25,55.9375
2018-05-03,101.7,54.65
2018-05-04,186.5,68.745
2018-05-05,236.0,88.97999999999999
2018-05-06,270.1666666666667,105.57000000000001
2018-05-07,201.0,69.41
2018-05-08,154.2,66.11111111111111
2018-05-09,203.2,78.80375000000001
2018-05-10,271.75,105.6125
2018-05-11,290.8333333333333,126.13
2018-05-12,259.2,76.5
2018-05-13,87.86666666666667,71.14285714285714
2018-08-09,116.0,54.46
2018-08-10,105.06666666666666,61.98333333333333
2018-08-11,87.53333333333335,26.52
2018-08-12,99.83333333333333,40.35
2018-08-13,111.23333333333333,58.98333333333333
2018-08-14,112.33333333333333,41.474999999999994
2018-08-15,61.46666666666666,29.35
2018-08-16,60.86666666666667,73.77142857142857
2018-08-17,64.8,35.871428571428574
2018-08-18,100.65,72.22857142857143
2018-08-19,109.16666666666667,66.02857142857142
2018-08-20,63.06666666666666,36.94285714285714
2018-08-21,51.96666666666666,31.928571428571427
2018-08-22,81.46666666666665,105.01428571428572
2018-08-23,99.43333333333334,152.38285714285715
2018-08-24,85.83333333333333,34.6
2018-08-25,183.4,73.3142857142857
2018-08-26,63.333333333333336,59.61428571428571
2018-08-27,51.150000000000006,34.25714285714286
2018-08-28,57.1,43.18571428571429
2018-08-29,101.36666666666667,45.971428571428575
2018-08-30,161.0,59.228571428571435
2018-08-31,110.66666666666667,49.114285714285714
2018-09-01,86.53333333333335,35.18571428571429
2018-09-02,68.06666666666666,36.771428571428565
2018-09-03,111.39999999999999,78.07142857142857
2018-09-04,105.63333333333333,46.63333333333333
2018-09-05,140.0,120.65714285714286
2018-09-06,91.96666666666665,221.8857142857143
2018-09-07,64.06666666666668,32.266666666666666
2018-09-08,47.26666666666667,37.63333333333333
2018-09-09,73.16666666666667,36.785714285714285
2018-09-10,77.0,36.771428571428565
2018-09-11,103.89999999999999,46.778571428571425
2018-09-12,132.46666666666667,35.54
2018-09-13,111.60000000000001,35.91857142857143
2018-09-14,140.33333333333334,40.75
2018-09-15,124.33333333333333,45.760000000000005
2018-09-16,149.33333333333334,63.300000000000004
2018-09-17,159.33333333333334,87.58571428571429
2018-09-18,175.0,71.3
2018-09-19,169.33333333333334,88.62857142857142
2018-09-20,84.03333333333333,39.91428571428571
2018-09-21,31.53333333333333,32.74285714285714
2018-09-22,56.35,38.471428571428575
2018-09-23,37.4,38.0
2018-09-24,72.26666666666667,29.325714285714287
2018-09-25,98.3,64.95
2018-09-26,179.63333333333333,87.91666666666667
2018-09-27,193.66666666666666,111.53333333333335
2018-09-28,200.66666666666666,107.44000000000001
2018-09-29,152.0,71.075
2018-09-30,172.66666666666666,57.028571428571425
2018-10-01,165.0,92.6
2018-10-02,196.66666666666666,68.84285714285714
2018-10-03,215.0,107.47142857142856
2018-10-04,254.0,132.0
2018-10-05,177.33333333333334,84.24285714285715
2018-10-06,219.33333333333334,94.41428571428571
2018-10-07,291.6666666666667,133.62857142857143
2018-10-08,177.0,119.8
2018-10-09,147.25,83.75
2018-10-10,180.5,112.35000000000001
2018-10-11,174.5,122.61666666666667
2018-10-12,186.5,128.91666666666666
2018-10-13,176.0,132.78
2018-10-14,213.5,348.6
2018-10-15,281.0,142.88
2018-10-16,253.0,175.28571428571428
2018-10-17,193.86666666666667,164.29999999999998
2018-10-18,312.0,167.71428571428572
2018-10-19,292.5,194.0
2018-10-20,256.6666666666667,188.0
2018-10-21,232.66666666666666,152.63333333333333
2018-10-22,289.0,168.95714285714286
2018-10-23,354.3333333333333,228.14285714285714
2018-10-24,339.0,211.66666666666666
2018-10-25,329.0,216.5
2018-10-26,343.6666666666667,335.3333333333333
2018-10-27,321.0,197.16666666666666
2018-10-28,360.6666666666667,226.33333333333334
2018-10-29,395.6666666666667,279.6666666666667
2018-10-30,321.3333333333333,239.16666666666666
2018-10-31,300.3333333333333,216.33333333333334
2018-11-01,317.0,212.83333333333334
2018-11-02,246.0,167.16666666666666
2018-11-03,168.66666666666666,101.73333333333333
2018-11-04,430.6666666666667,250.14285714285714
2018-11-05,273.6666666666667,137.14285714285714
2018-11-06,318.6666666666667,203.28571428571428
2018-11-07,898.5,634.4285714285714
2018-11-08,410.0,308.2857142857143
2018-11-09,389.0,266.42857142857144
2018-11-10,375.3333333333333,281.7142857142857
2018-11-11,413.6666666666667,238.57142857142858
2018-11-12,386.6666666666667,232.42857142857142
2018-11-13,240.33333333333334,144.9
2018-11-14,175.33333333333334,97.32857142857142
2018-11-15,207.0,121.64285714285714
2018-11-16,251.66666666666666,144.6142857142857
2018-11-17,302.0,158.9
2018-11-18,273.6666666666667,172.28571428571428
2018-12-14,267.0,120.10000000000001
2018-12-15,,107.64000000000001
2018-12-20,411.6666666666667,218.9
